moles_diluent, Y_n2, Y_co2, gamma_N2, gamma_CO2, CJ_n2, CJ_co2
0.0,0.0,0.0,1.24704811412,1.24704811412,2188.74878818,2188.74878818
0.5,0.0281125416895,0.0434679546061,1.25123307393,1.24857408907,2174.086167,2138.8667446
1.0,0.0546876738675,0.0833144025443,1.2551958061,1.24998955415,2160.03410455,2093.34572002
1.5,0.0798481558483,0.119973829839,1.25895355374,1.25130609444,2146.54419457,2051.66843257
2.0,0.103704016312,0.153813892529,1.26252182104,1.25253373034,2133.57314157,2013.36644953
2.5,0.126354161874,0.18514779009,1.26591458706,1.25368117312,2121.08207674,1978.02553062
3.0,0.147887747765,0.214243987927,1.2691444888,1.25475603198,2109.03599446,1945.28554359
3.5,0.168385350681,0.241333928697,1.27222297844,1.25576498292,2097.40327547,1914.83662642
4.0,0.187919976333,0.266618201645,1.27516045904,1.25671390762,2086.1552743,1886.4134504
4.5,0.206557928252,0.290271518083,1.27796640198,1.2576080081,2075.26597512,1859.78895279
5.0,0.224359559633,0.312446754132,1.28064944898,1.25845190218,2064.7116869,1834.76846282
5.5,0.241379926201,0.333278258535,1.28321750099,1.25924970323,2054.47085226,1811.18541387
6.0,0.257669354957,0.352884576835,1.28567779591,1.26000508722,2044.52347374,1788.89297327
6.5,0.273273941191,0.371370708625,1.28803697669,1.26072134937,2034.85162717,1767.76677142
7.0,0.288235984101,0.388829988641,1.29030115127,1.26140145217,2025.43854479,1747.69724944
7.5,0.302594369684,0.405345662866,1.29247594533,1.26204806639,2016.26889855,1728.58838394
8.0,0.316384908205,0.420992215805,1.29456654902,1.26266360608,2007.32860439,1710.35562391
8.5,0.329640632391,0.435836493595,1.29657775826,1.26325025872,1998.60438078,1692.92424857
9.0,0.342392061608,0.44993865867,1.29851401148,1.26381001117,1990.08433721,1676.22769788
9.5,0.354667436433,0.463353004738,1.30037942235,1.26434467217,1981.75718095,1660.2069472
10.0,0.366492927453,0.47612865535,1.30217780892,1.26485589186,1973.61249538,1644.80846028
10.5,0.377892821505,0.488310165005,1.30391271973,1.26534517879,1965.64059471,1629.98472586
11.0,0.388889688171,0.499938038292,1.30558745714,1.26581391478,1957.83245557,1615.69317388
11.5,0.399504528921,0.511049179831,1.30720509837,1.26626336796,1950.17973259,1601.89512042
12.0,0.409756910975,0.521677285524,1.3087685143,1.26669470424,1942.67436852,1588.55552886
12.5,0.419665087683,0.531853183868,1.31028038655,1.26710899738,1935.30921451,1575.64260678
13.0,0.429246106985,0.541605134613,1.31174322276,1.26750723793,1928.07739865,1563.12742975
13.5,0.438515909296,0.550959090846,1.31315937051,1.26789034115,1920.97374541,1550.98363484
14.0,0.447489416004,0.559938929633,1.31453102989,1.26825915399,1913.98925963,1539.18715873
14.5,0.456180609626,0.56856665553,1.31586026488,1.26861446142,1907.11988335,1527.71599781
15.0,0.464602606501,0.576862580611,1.31714901374,1.2689569919,1900.36028386,1516.55212693
15.5,0.472767722841,0.584845484124,1.31839909842,1.26928742247,1893.7054326,1505.6720621
16.0,0.480687534828,0.592532754399,1.31961223318,1.26960638314,1887.15060044,1495.0620192
16.5,0.488372933372,0.599940515286,1.3207900324,1.26991446093,1880.69132438,1484.70635896
17.0,0.495834174078,0.607083739046,1.32193401778,1.27021220349,1874.32339748,1474.59076874
17.5,0.503080922907,0.613976347352,1.32304562486,1.27050012231,1868.04284675,1464.70210175
18.0,0.510122297949,0.620631301854,1.32412620907,1.2707786957,1861.84591816,1455.02827605
18.5,0.516966907699,0.627060685528,1.32517705122,1.2710483714,1855.72906658,1445.55819726
19.0,0.523622886171,0.633275775889,1.32619936258,1.27130956899,1849.68893646,1436.28166461
19.5,0.530097925135,0.639287111012,1.32719428952,1.2715626821,1843.72235704,1427.18912141
20.0,0.53639930378,0.645104549152,1.32816291781,1.27180808034,1837.82632316,1418.27169611
20.5,0.542533916004,0.650737322702,1.32910627656,1.27204611115,1831.99799433,1409.52176307
21.0,0.548508295576,0.656194087075,1.3300253419,1.27227710139,1826.23467146,1400.93220647
21.5,0.554328639348,0.661482965091,1.33092104028,1.2725013589,1820.53381065,1392.49632075
22.0,0.560000828696,0.666611587318,1.33179425169,1.27271917379,1814.89299342,1384.20801109
22.5,0.565530449341,0.671587128804,1.33264581243,1.27293081978,1809.30993037,1376.06170758
23.0,0.570922809702,0.676416342568,1.33347651788,1.27313655527,1803.78247487,1368.0521829
23.5,0.576182957886,0.681105590185,1.33428712489,1.27333662444,1798.3083652,1360.17489467
24.0,0.581315697458,0.685660869735,1.33507835416,1.2735312582,1792.88582295,1352.42539703
24.5,0.586325602065,0.690087841405,1.33585089233,1.27372067509,1787.51300825,1344.79986089
25.0,0.591217029036,0.694391850954,1.33660539396,1.27390508207,1782.18815071,1337.29463781
25.5,0.595994132016,0.698577951241,1.33734248343,1.27408467532,1776.90962421,1329.90641633
26.0,0.600660872732,0.70265092202,1.3380627566,1.27425964089,1771.67586415,1322.63215262
26.5,0.605221031953,0.706615288141,1.33876678247,1.27443015538,1766.48538713,1315.46904011
27.0,0.609678219701,0.710475336323,1.33945510465,1.27459638649,1761.33681165,1308.414491
27.5,0.614035884787,0.714235130613,1.34012824275,1.27475849363,1756.22880228,1301.46610709
28.0,0.618297323706,0.717898526662,1.34078669373,1.27491662838,1751.16011784,1294.62166437
28.5,0.622465688959,0.721469184908,1.34143093309,1.275070935,1746.12956441,1287.87907994
29.0,0.626543996824,0.724950582782,1.34206141601,1.27522155082,1741.13616406,1281.23640534
29.5,0.630535134641,0.728346026002,1.34267857846,1.27536860669,1736.1787519,1274.69181273
30.0,0.634441867628,0.731658659041,1.34328283816,1.27551222736,1731.25640173,1268.24354019
30.5,0.638266845266,0.734891474842,1.34387459556,1.27565253181,1726.3681984,1261.88995195
31.0,0.642012607295,0.738047323834,1.34445423468,1.27578963358,1721.51535242,1255.62945608
31.5,0.645681589338,0.741128922319,1.34502212402,1.2759236411,1716.69269471,1249.46052293
32.0,0.649276128179,0.744138860268,1.34557861725,1.27605465794,1711.90175017,1243.38039704
32.5,0.652798466729,0.747079608577,1.346124054,1.27618278313,1707.14192903,1237.39014175
33.0,0.656250758693,0.74995352584,1.34665876053,1.27630811133,1702.41255194,1231.48712857
33.5,0.65963507296,0.752762864648,1.3471830504,1.27643073317,1697.71304666,1225.66998495
34.0,0.662953397737,0.755509777488,1.34769722507,1.27655073535,1693.04288206,1219.9373581
34.5,0.666207644447,0.758196322235,1.34820157447,1.27666820094,1688.40149421,1214.28791155
35.0,0.669399651396,0.760824467297,1.34869637755,1.27678320954,1683.78846025,1208.72032676
35.5,0.67253118724,0.763396096424,1.34918190282,1.27689583742,1679.20333269,1203.23329692
36.0,0.675603954251,0.765913013212,1.3496584088,1.27700615775,1674.64572612,1197.82552745
36.5,0.678619591402,0.768376945319,1.3501261445,1.27711424074,1670.11527538,1192.49572831
37.0,0.681579677283,0.770789548424,1.35058534983,1.27722015375,1665.61166807,1187.24262424
37.5,0.684485732856,0.773152409931,1.35103625604,1.27732396149,1661.13460449,1182.06494326
38.0,0.68733922406,0.775467052457,1.35147908611,1.27742572612,1656.68382121,1176.96142094
38.5,0.690141564281,0.777734937105,1.35191405509,1.27752550736,1652.25908946,1171.93080149
39.0,0.69289411668,0.779957466532,1.35234137046,1.27762336263,1647.86019309,1166.97183961
39.5,0.695598196408,0.782135987852,1.35276123246,1.27771934717,1643.48695317,1162.08329638
